arch,type,pattern,n,reps,menu_ms,pdq_ms,ska_ms,std_ms,best_ms,ratio_best,ok
x86_64,i64,sorted,1000000,5,1.35,1.87,28.82,17.06,1.87,0.722,1
x86_64,i64,reverse,1000000,5,2.11,3.11,31.32,10.58,3.11,0.678,1
x86_64,i64,random,1000000,5,35.01,32.4,24.99,83.86,24.99,1.401,1
x86_64,i64,almost_sorted,1000000,5,3.09,6.59,33.03,16.89,6.59,0.469,1
x86_64,i64,db_pk,1000000,5,377.01,6.6,37.51,16.79,6.6,57.086,1
x86_64,i64,timestamps,1000000,5,1.09,1.61,30.8,19.58,1.61,0.677,1
x86_64,i64,few_k4_dense,1000000,5,7.99,3.56,22.64,23.14,3.56,2.241,1
x86_64,i64,few_k16_dense,1000000,5,7.41,5.82,20.57,28.01,5.82,1.272,1
x86_64,i64,few_k16_wide,1000000,5,12.05,7.64,21.41,27.5,7.64,1.579,1
x86_64,i64,equal_heavy,1000000,5,5.16,3.24,23.96,13.77,3.24,1.592,1
x86_64,i64,zipf_k16,1000000,5,7.58,5.21,20.61,25.77,5.21,1.456,1
x86_64,i64,organpipe,1000000,5,33.44,35.4,28.51,91.22,28.51,1.173,1
x86_64,i64,sawtooth,1000000,5,2.85,14.36,22.0,28.09,14.36,0.199,1
x86_64,i64,pipe_sparse,1000000,5,32.05,12.89,26.17,29.76,12.89,2.487,1
x86_64,i64,push_middle,1000000,5,6.08,6.81,25.12,32.36,6.81,0.893,1
x86_64,i64,reverse_segments,1000000,5,11.06,15.6,25.84,59.89,15.6,0.709,1
x86_64,i64,gaussianish,1000000,5,47.88,31.13,36.03,83.6,31.13,1.538,1
x86_64,i64,adversarial,1000000,5,1.12,2.54,23.17,19.72,2.54,0.441,1
x86_64,i64,runs_noise,1000000,5,28.99,17.83,30.78,21.81,17.83,1.626,1
x86_64,i32,sorted,1000000,5,0.69,1.24,17.12,10.39,1.24,0.553,1
x86_64,i32,reverse,1000000,5,0.88,2.0,14.63,7.87,2.0,0.441,1
x86_64,i32,random,1000000,5,23.46,30.42,21.69,80.58,21.69,1.082,1
x86_64,i32,almost_sorted,1000000,5,1.49,5.96,19.28,10.53,5.96,0.25,1
x86_64,i32,db_pk,1000000,5,5.92,6.17,25.79,10.69,6.17,0.96,1
x86_64,i32,timestamps,1000000,5,0.67,1.16,18.16,11.72,1.16,0.579,1
x86_64,i32,few_k4_dense,1000000,5,6.3,2.32,10.01,17.72,2.32,2.719,1
x86_64,i32,few_k16_dense,1000000,5,1.55,5.03,9.96,26.92,5.03,0.307,1
x86_64,i32,few_k16_wide,1000000,5,5.52,5.81,10.17,24.96,5.81,0.951,1
x86_64,i32,equal_heavy,1000000,5,3.37,2.32,12.94,9.22,2.32,1.451,1
x86_64,i32,zipf_k16,1000000,5,1.72,4.15,9.9,25.04,4.15,0.415,1
x86_64,i32,organpipe,1000000,5,5.17,34.71,17.52,78.91,17.52,0.295,1
x86_64,i32,sawtooth,1000000,5,1.62,11.23,11.13,26.44,11.13,0.146,1
x86_64,i32,pipe_sparse,1000000,5,20.52,11.62,15.34,28.59,11.62,1.766,1
x86_64,i32,push_middle,1000000,5,1.48,6.13,13.34,26.72,6.13,0.242,1
x86_64,i32,reverse_segments,1000000,5,1.6,13.26,14.97,51.35,13.26,0.12,1
x86_64,i32,gaussianish,1000000,5,22.11,29.0,23.09,77.33,23.09,0.957,1
x86_64,i32,adversarial,1000000,5,0.68,2.09,12.61,10.48,2.09,0.326,1
x86_64,i32,runs_noise,1000000,5,21.26,15.03,18.65,16.03,15.03,1.414,1
x86_64,u32,sorted,1000000,5,0.69,1.18,13.89,11.49,1.18,0.586,1
x86_64,u32,reverse,1000000,5,1.18,1.9,16.14,7.64,1.9,0.621,1
x86_64,u32,random,1000000,5,23.53,29.55,22.32,79.95,22.32,1.054,1
x86_64,u32,almost_sorted,1000000,5,1.65,5.75,28.17,11.5,5.75,0.287,1
x86_64,u32,db_pk,1000000,5,6.45,5.47,25.24,11.29,5.47,1.178,1
x86_64,u32,timestamps,1000000,5,0.83,1.64,18.17,11.92,1.64,0.508,1
x86_64,u32,few_k4_dense,1000000,5,6.37,2.23,9.99,18.03,2.23,2.855,1
x86_64,u32,few_k16_dense,1000000,5,1.64,4.57,9.66,26.9,4.57,0.358,1
x86_64,u32,few_k16_wide,1000000,5,5.55,5.55,10.7,25.44,5.55,1.0,1
x86_64,u32,equal_heavy,1000000,5,3.65,2.24,13.62,10.42,2.24,1.628,1
x86_64,u32,zipf_k16,1000000,5,2.46,3.8,9.99,24.44,3.8,0.646,1
x86_64,u32,organpipe,1000000,5,5.58,31.64,17.22,77.22,17.22,0.324,1
x86_64,u32,sawtooth,1000000,5,1.74,10.36,11.41,27.08,10.36,0.168,1
x86_64,u32,pipe_sparse,1000000,5,20.99,11.07,15.53,28.87,11.07,1.897,1
x86_64,u32,push_middle,1000000,5,1.67,5.76,13.37,28.2,5.76,0.289,1
x86_64,u32,reverse_segments,1000000,5,1.78,11.92,14.77,50.58,11.92,0.149,1
x86_64,u32,gaussianish,1000000,5,23.77,30.06,24.21,80.19,24.21,0.982,1
x86_64,u32,adversarial,1000000,5,0.69,1.91,13.82,11.51,1.91,0.363,1
x86_64,u32,runs_noise,1000000,5,22.24,14.17,18.82,20.67,14.17,1.569,1
