pattern,pure_ms,pdq_ms,ska_ms,pure_over_pdq,pure_over_ska
uniform_i64,22.776,32.677,22.702,0.697,1.003
sorted,0.738,0.907,24.713,0.814,0.030
reverse,1.053,1.641,24.209,0.642,0.044
almost_0.001,1.533,5.668,28.912,0.271,0.053
almost_0.01,3.115,9.717,30.798,0.321,0.101
organpipe,17.621,33.546,27.744,0.525,0.635
sawtooth_64,1.332,4.189,19.861,0.318,0.067
few_unique_16,1.690,5.761,20.118,0.293,0.084
adversarial_pivot,0.774,0.905,22.649,0.856,0.034
equal_heavy,0.815,0.882,23.017,0.924,0.035
db_pk_sparse,28.794,32.170,45.171,0.895,0.637
