pattern,priority,pure_ms,pdq_ms,ska_ms,pure_over_pdq,pure_over_ska,ok
uniform_i64,locked,26.7696,35.6657,26.1556,0.750569,1.02348,1
sorted,locked,1.39316,1.64274,25.1649,0.848068,0.0553612,1
reverse,locked,2.27955,2.51726,25.2627,0.905569,0.0902338,1
almost_0.001,locked,1.82022,6.66843,30.7224,0.27296,0.0592472,1
almost_0.01,locked,3.3751,11.0604,31.4372,0.305153,0.10736,1
organpipe,locked,18.9435,39.1297,30.1858,0.48412,0.627564,1
sawtooth_64,locked,2.11731,4.69624,20.7633,0.450853,0.101974,1
few_unique_16,locked,2.28215,6.88712,22.1834,0.331365,0.102877,1
adversarial_pivot,locked,1.52141,3.17198,24.1338,0.479641,0.0630406,1
equal_heavy,locked,1.64148,1.59806,24.5143,1.02717,0.0669602,1
db_pk_sparse,locked,29.915,34.6074,44.0751,0.864411,0.678727,1
gaussian,high,38.7243,35.1459,38.7645,1.10181,0.998962,1
gaussian_mix,high,34.5932,35.2148,34.4793,0.982346,1.0033,1
exponential,high,21.7628,35.0633,38.4434,0.620673,0.5661,1
geometric,high,2.26453,6.1763,21.1832,0.366649,0.106902,1
zipf_1.2,high,2.80072,8.96681,25.7612,0.312343,0.108719,1
zipf_1.5,high,3.00554,6.28188,26.0129,0.478446,0.11554,1
zipf_2.0,high,3.29908,5.06401,24.1762,0.651476,0.13646,1
constant_0,high,1.31563,1.48989,21.6797,0.88304,0.0606849,1
constant_42,high,1.3434,1.57227,25.3966,0.854435,0.0528971,1
range_8,high,3.97076,10.7408,25.1834,0.369688,0.157673,1
range_16,high,4.1767,26.888,24.365,0.155337,0.171422,1
range_24,high,27.5906,35.6717,37.5469,0.773459,0.734831,1
range_32,high,28.8598,33.967,33.4611,0.849642,0.862488,1
root_dup,medium,2.34296,12.0797,21.257,0.193959,0.110221,1
two_dup,medium,20.443,34.5178,32.7318,0.592245,0.624561,1
eight_dup,medium,3.06612,31.7955,26.7467,0.0964324,0.114635,1
push_front_100,medium,4.76729,21.3679,25.3265,0.223105,0.188233,1
push_front_1000,medium,4.63322,23.3788,25.6222,0.198181,0.180829,1
push_middle_100,medium,4.77691,13.5112,25.2634,0.353552,0.189084,1
push_middle_1000,medium,4.67091,16.2854,24.6553,0.286816,0.189449,1
plateau,medium,1.63491,1.70138,24.3505,0.960931,0.0671405,1
stagger,medium,18.54,31.0418,29.4114,0.597259,0.630366,1
almost_0.05,medium,16.944,18.0202,30.2672,0.94028,0.559814,1
almost_0.10,medium,17.087,24.7732,31.6128,0.689738,0.54051,1
reverse_almost_0.01,medium,16.2239,24.6377,31.4209,0.658498,0.51634,1
reverse_almost_0.05,medium,15.9247,29.2468,31.1399,0.544493,0.511391,1
bitonic,low,18.31,34.2363,27.5367,0.534813,0.664932,1
