k,alpha,spacing,dominant_boost,pure_ms,pdq_ms,ratio,path,ok
2,1.5,1000000,0.0,2.5000,2.6350,0.9488,MAJORITY_ADVERSARIAL,1
3,1.5,1000000,0.0,12.6990,7.8480,1.6181,MAJORITY_ADVERSARIAL,1
4,1.5,1000000,0.0,17.4920,6.8170,2.5659,MAJORITY_ADVERSARIAL,1
5,1.5,1000000,0.0,12.2590,3.3980,3.6071,MAJORITY_ADVERSARIAL,1
6,1.5,1000000,0.0,8.0000,9.7800,0.8180,HE_OR_OTHER,1
8,1.5,1000000,0.0,15.0400,3.8820,3.8743,MAJORITY_ADVERSARIAL,1
12,1.5,1000000,0.0,17.6420,8.6460,2.0409,HE_OR_OTHER,1
16,1.5,1000000,0.0,14.4710,5.8570,2.4707,HE_OR_OTHER,1
24,1.5,1000000,0.0,19.7010,6.9490,2.8351,HE_OR_OTHER,1
32,1.5,1000000,0.0,19.6690,5.4840,3.5866,HE_OR_OTHER,1
64,1.5,1000000,0.0,23.4420,4.6500,5.0413,HE_OR_OTHER,1
128,1.5,1000000,0.0,22.3690,5.8100,3.8501,HE_OR_OTHER,1
4,1.2,1000000,0.0,18.1050,3.3140,5.4632,HE_OR_OTHER,1
4,1.0,1000000,0.0,28.5740,5.4460,5.2468,HE_OR_OTHER,1
4,0.8,1000000,0.0,14.0880,3.5100,4.0137,HE_OR_OTHER,1
