pattern,pure_ms,pdq_ms,ska_ms,std_ms,pure_over_pdq,pure_over_ska
uniform_i64,23.85,30.22,21.58,79.15,0.789,1.105
sorted,0.36,0.79,22.15,11.20,0.461,0.016
reverse,0.65,1.53,24.21,7.87,0.427,0.027
almost_0.001,2.74,5.74,28.67,11.22,0.477,0.095
almost_0.01,4.44,10.11,30.43,13.43,0.440,0.146
organpipe,17.54,31.12,26.40,86.64,0.564,0.664
sawtooth_64,1.50,3.84,19.04,24.54,0.392,0.079
few_unique_16,1.51,3.93,19.13,21.14,0.385,0.079
adversarial_pivot,1.44,0.79,22.09,10.74,1.814,0.065
equal_heavy,0.75,0.75,22.62,10.77,0.993,0.033
db_pk_sparse,76.58,29.87,41.23,76.51,2.563,1.857
