pattern,photonic_ms,std_ms,pdq_ms,ska_ms,vs_std,vs_pdq,vs_ska,ok
sorted,1.4672,17.4101,0.8898,12.9842,0.0843,1.6489,0.1130,1
reverse,0.8628,7.4232,1.6490,14.1177,0.1162,0.5232,0.0611,1
organpipe,3.6105,85.9032,33.5680,17.2718,0.0420,0.1076,0.2090,1
sawtooth,1.2179,39.8783,3.9416,9.2329,0.0305,0.3090,0.1319,1
almost_sorted,12.8097,10.6297,5.5725,18.8411,1.2051,2.2988,0.6799,1
uniform,19.2827,88.9423,31.6576,22.4116,0.2168,0.6091,0.8604,1
two_values,0.5787,17.8190,1.4699,12.1934,0.0325,0.3937,0.0475,1
few_k16_wide,5.2113,27.6405,6.0341,9.6555,0.1885,0.8636,0.5397,1
few_k16_dense,3.1299,21.3168,3.9905,9.2158,0.1468,0.7843,0.3396,1
zipf_k16,1.4447,25.8803,4.4216,9.5655,0.0558,0.3267,0.1510,1
push_middle,7.1936,15.5575,3.7785,13.2713,0.4624,1.9039,0.5420,1
db_pk,13.2820,11.2184,8.2543,26.3129,1.1840,1.6091,0.5048,1
