pattern,photonic_ms,std_ms,pdq_ms,ska_ms,vs_std,vs_pdq,vs_ska,ok
sorted,1.4932,13.3812,1.9091,12.4534,0.1116,0.7822,0.1199,1
reverse,0.6951,7.3898,1.4378,13.8201,0.0941,0.4834,0.0503,1
organpipe,3.5038,85.4792,29.8677,16.7608,0.0410,0.1173,0.2090,1
sawtooth,1.2767,23.0589,3.8193,9.7233,0.0554,0.3343,0.1313,1
almost_sorted,11.4212,10.7079,5.0173,19.0357,1.0666,2.2764,0.6000,1
uniform,18.4781,78.0529,29.9044,27.5973,0.2367,0.6179,0.6696,1
two_values,0.6202,17.6717,1.5383,10.3690,0.0351,0.4032,0.0598,1
few_k16_wide,5.1121,26.9539,6.1137,9.6588,0.1897,0.8362,0.5293,1
few_k16_dense,3.1994,19.9171,5.1909,9.3358,0.1606,0.6163,0.3427,1
zipf_k16,1.5547,23.5303,4.3403,13.3630,0.0661,0.3582,0.1163,1
push_middle,7.5944,13.7839,3.1669,13.2930,0.5510,2.3981,0.5713,1
db_pk,13.0884,11.7846,6.9924,25.6687,1.1106,1.8718,0.5099,1
